DayOfWeek,Hour,Sunrise_Sunset,Is_Weekend,Total_Accidents,Severe_Accidents
Tuesday,13,Day,False,59594,10326
Tuesday,13,Unknown,False,197,29
Tuesday,14,Day,False,69645,11685
Tuesday,14,Unknown,False,204,28
Tuesday,15,Day,False,86680,14835
Tuesday,15,Unknown,False,232,25
Tuesday,16,Day,False,97400,17884
Tuesday,16,Night,False,3136,590
Tuesday,16,Unknown,False,268,36
Tuesday,17,Day,False,76791,15577
Tuesday,17,Night,False,25419,4358
Tuesday,17,Unknown,False,211,12
Tuesday,18,Day,False,39119,8789
Tuesday,18,Night,False,33715,6441
Tuesday,18,Unknown,False,196,22
Tuesday,19,Day,False,15902,4028
Tuesday,19,Night,False,29031,5773
Tuesday,19,Unknown,False,102,10
Tuesday,20,Day,False,2695,739
Tuesday,20,Night,False,29776,6341
Tuesday,20,Unknown,False,107,18
Tuesday,21,Day,False,28,10
Tuesday,21,Night,False,26184,5567
Tuesday,21,Unknown,False,88,12
Tuesday,22,Night,False,22873,4734
Tuesday,22,Unknown,False,74,8
Tuesday,23,Night,False,17103,2619
Tuesday,23,Unknown,False,65,17
Wednesday,0,Night,False,15079,2450
Wednesday,0,Unknown,False,59,4
Wednesday,1,Night,False,12691,1710
Wednesday,1,Unknown,False,50,7
Wednesday,2,Night,False,11321,1607
Wednesday,2,Unknown,False,27,5
Wednesday,3,Night,False,10436,1812
Wednesday,3,Unknown,False,21,2
Wednesday,4,Night,False,25468,5438
Wednesday,4,Unknown,False,50,8
Wednesday,5,Day,False,1939,459
Wednesday,5,Night,False,38472,7417
Wednesday,5,Unknown,False,70,7
Wednesday,6,Day,False,23729,4895
Wednesday,6,Night,False,54478,10565
Wednesday,6,Unknown,False,176,17
Wednesday,7,Day,False,99813,17561
Wednesday,7,Night,False,17118,3286
Wednesday,7,Unknown,False,243,25
Wednesday,8,Day,False,114082,20923
Wednesday,8,Night,False,101,12
Wednesday,8,Unknown,False,234,39
Wednesday,9,Day,False,65545,13405
Wednesday,9,Unknown,False,181,34
Wednesday,10,Day,False,56493,11212
Wednesday,10,Unknown,False,161,21
Wednesday,11,Day,False,55763,10644
Wednesday,11,Unknown,False,186,38
Wednesday,12,Day,False,53938,10061
Wednesday,12,Unknown,False,126,14
Wednesday,13,Day,False,62151,10574
Wednesday,13,Unknown,False,171,16
Wednesday,14,Day,False,71572,12051
Wednesday,14,Unknown,False,202,14
Wednesday,15,Day,False,88162,15491
Wednesday,15,Unknown,False,302,42
Wednesday,16,Day,False,98166,18158
Wednesday,16,Night,False,3072,563
Wednesday,16,Unknown,False,244,49
Wednesday,17,Day,False,79105,16008
Wednesday,17,Night,False,25017,4420
Wednesday,17,Unknown,False,265,33
Wednesday,18,Day,False,40322,9167
Wednesday,18,Night,False,33958,6510
Wednesday,18,Unknown,False,194,23
Wednesday,19,Day,False,16496,4027
